timestamp,open,high,low,close,vol,start
2019-03-15 12:18:48.977,13660,13665,13630,13630,73843,2019-03-15 12:18:13.706
2019-03-15 12:18:54.047,13630,13635,13615,13615,76378,2019-03-15 12:18:48.977
2019-03-15 12:20:00.807,13615,13630,13605,13610,73767,2019-03-15 12:18:54.047
2019-03-15 12:21:27.786,13610,13625,13605,13615,73556,2019-03-15 12:20:00.807
2019-03-15 12:23:57.231,13615,13630,13615,13615,78957,2019-03-15 12:21:27.786
2019-03-15 12:26:06.958,13615,13655,13615,13650,74263,2019-03-15 12:23:57.231
2019-03-15 12:29:35.466,13650,13655,13625,13625,74202,2019-03-15 12:26:06.958
2019-03-15 12:30:17.116,13625,13625,13605,13615,73880,2019-03-15 12:29:35.466
2019-03-15 12:31:16.469,13615,13630,13605,13605,74239,2019-03-15 12:30:17.116
2019-03-15 12:31:33.296,13605,13605,13600,13600,94286,2019-03-15 12:31:16.469
2019-03-15 12:33:09.135,13600,13610,13590,13590,73655,2019-03-15 12:31:33.296
2019-03-15 12:33:30.971,13590,13595,13570,13575,74222,2019-03-15 12:33:09.135
2019-03-15 12:33:51.698,13575,13580,13535,13535,74566,2019-03-15 12:33:30.971
2019-03-15 12:34:25.052,13535,13550,13525,13545,74061,2019-03-15 12:33:51.698
2019-03-15 12:36:14.161,13545,13555,13530,13535,74459,2019-03-15 12:34:25.052
2019-03-15 12:37:54.933,13535,13560,13520,13520,74102,2019-03-15 12:36:14.161
2019-03-15 12:39:27.171,13520,13530,13510,13530,74580,2019-03-15 12:37:54.933
2019-03-15 12:40:24.113,13530,13535,13500,13500,74865,2019-03-15 12:39:27.171
2019-03-15 12:41:17.471,13500,13525,13500,13510,77352,2019-03-15 12:40:24.113
2019-03-15 12:42:50.164,13510,13515,13500,13510,74445,2019-03-15 12:41:17.471
2019-03-15 12:43:30.600,13510,13530,13510,13525,74681,2019-03-15 12:42:50.164
2019-03-15 12:44:54.008,13525,13575,13525,13575,74243,2019-03-15 12:43:30.600
2019-03-15 12:45:46.562,13575,13595,13570,13580,74128,2019-03-15 12:44:54.008
2019-03-15 12:47:00.367,13580,13610,13575,13610,73577,2019-03-15 12:45:46.562
2019-03-15 12:47:45.430,13610,13620,13600,13615,73817,2019-03-15 12:47:00.367
2019-03-15 12:49:45.973,13615,13630,13610,13630,74079,2019-03-15 12:47:45.430
2019-03-15 12:51:56.180,13630,13645,13625,13630,74170,2019-03-15 12:49:45.973
2019-03-15 12:53:33.159,13630,13635,13590,13595,76064,2019-03-15 12:51:56.180
2019-03-15 12:55:57.948,13595,13615,13575,13615,73969,2019-03-15 12:53:33.159
2019-03-15 12:58:09.585,13615,13615,13570,13570,81983,2019-03-15 12:55:57.948
2019-03-15 12:59:31.412,13570,13570,13520,13535,75328,2019-03-15 12:58:09.585
2019-03-15 13:00:26.944,13535,13550,13530,13535,74085,2019-03-15 12:59:31.412
2019-03-15 13:04:15.990,13535,13590,13535,13575,74794,2019-03-15 13:00:26.944
2019-03-15 13:07:17.188,13575,13635,13565,13625,74018,2019-03-15 13:04:15.990
2019-03-15 13:08:44.712,13625,13665,13625,13665,74986,2019-03-15 13:07:17.188
2019-03-15 13:09:51.659,13665,13680,13630,13660,73872,2019-03-15 13:08:44.712
2019-03-15 13:12:14.308,13660,13685,13645,13665,74274,2019-03-15 13:09:51.659
2019-03-15 13:14:51.183,13665,13675,13640,13650,74513,2019-03-15 13:12:14.308
2019-03-15 13:17:16.746,13650,13650,13595,13600,74794,2019-03-15 13:14:51.183
2019-03-15 13:18:21.148,13600,13605,13560,13565,74558,2019-03-15 13:17:16.746
2019-03-15 13:19:44.011,13565,13600,13560,13580,74193,2019-03-15 13:18:21.148
2019-03-15 13:22:43.287,13580,13625,13580,13615,73634,2019-03-15 13:19:44.011
2019-03-15 13:24:30.794,13615,13630,13585,13585,73788,2019-03-15 13:22:43.287
2019-03-15 13:26:05.614,13585,13585,13550,13555,73886,2019-03-15 13:24:30.794
2019-03-15 13:26:38.437,13555,13565,13545,13545,74526,2019-03-15 13:26:05.614
2019-03-15 13:28:00.999,13545,13550,13520,13530,75023,2019-03-15 13:26:38.437
2019-03-15 13:30:01.642,13530,13530,13515,13515,74973,2019-03-15 13:28:00.999
2019-03-15 13:30:31.817,13515,13520,13505,13505,75639,2019-03-15 13:30:01.642
2019-03-15 13:32:01.783,13505,13525,13500,13505,78978,2019-03-15 13:30:31.817
2019-03-15 13:34:09.161,13505,13540,13505,13520,75769,2019-03-15 13:32:01.783
2019-03-15 13:35:31.238,13520,13525,13505,13510,75428,2019-03-15 13:34:09.161
2019-03-15 13:37:22.062,13510,13520,13505,13510,74916,2019-03-15 13:35:31.238
2019-03-15 13:39:56.119,13510,13535,13500,13500,74721,2019-03-15 13:37:22.062
2019-03-15 13:40:21.420,13500,13505,13500,13500,75114,2019-03-15 13:39:56.119
2019-03-15 13:41:01.760,13500,13500,13470,13470,75086,2019-03-15 13:40:21.420
2019-03-15 13:41:43.439,13470,13475,13445,13445,77176,2019-03-15 13:41:01.760
2019-03-15 13:43:16.784,13445,13450,13425,13450,78972,2019-03-15 13:41:43.439
2019-03-15 13:44:55.158,13450,13475,13440,13475,74663,2019-03-15 13:43:16.784
2019-03-15 13:46:17.624,13475,13510,13465,13510,75123,2019-03-15 13:44:55.158
2019-03-15 13:48:13.514,13510,13515,13460,13460,75639,2019-03-15 13:46:17.624
2019-03-15 13:49:49.394,13460,13470,13435,13435,79021,2019-03-15 13:48:13.514
2019-03-15 13:52:41.757,13435,13475,13435,13465,74999,2019-03-15 13:49:49.394
2019-03-15 13:54:12.158,13465,13525,13465,13520,75256,2019-03-15 13:52:41.757
2019-03-15 13:54:43.130,13520,13545,13515,13530,80888,2019-03-15 13:54:12.158
2019-03-15 13:56:12.410,13530,13540,13510,13515,75796,2019-03-15 13:54:43.130
2019-03-15 13:58:26.530,13515,13535,13505,13530,75068,2019-03-15 13:56:12.410
2019-03-15 14:00:12.964,13530,13535,13485,13490,74560,2019-03-15 13:58:26.530
2019-03-15 14:03:15.908,13490,13520,13485,13510,74207,2019-03-15 14:00:12.964
2019-03-15 14:04:04.781,13510,13510,13460,13465,74441,2019-03-15 14:03:15.908
2019-03-15 14:08:12.638,13465,13500,13465,13485,74948,2019-03-15 14:04:04.781
2019-03-15 14:10:41.722,13485,13500,13470,13470,76337,2019-03-15 14:08:12.638
2019-03-15 14:14:13.519,13470,13525,13465,13515,74161,2019-03-15 14:10:41.722
2019-03-15 14:16:41.278,13515,13515,13470,13470,74311,2019-03-15 14:14:13.519
2019-03-15 14:18:13.300,13470,13490,13460,13465,74238,2019-03-15 14:16:41.278
2019-03-15 14:19:18.978,13465,13480,13445,13445,76277,2019-03-15 14:18:13.300
2019-03-15 14:21:20.011,13445,13475,13435,13465,74443,2019-03-15 14:19:18.978
2019-03-15 14:23:44.385,13465,13495,13455,13495,75309,2019-03-15 14:21:20.011
2019-03-15 14:28:34.149,13495,13500,13480,13490,75257,2019-03-15 14:23:44.385
2019-03-15 14:30:00.670,13490,13545,13485,13540,74169,2019-03-15 14:28:34.149
2019-03-15 14:31:14.925,13540,13555,13515,13555,75356,2019-03-15 14:30:00.670
2019-03-15 14:31:49.371,13555,13580,13550,13580,74912,2019-03-15 14:31:14.925
2019-03-15 14:33:50.036,13580,13580,13545,13555,74025,2019-03-15 14:31:49.371
2019-03-15 14:35:25.773,13555,13585,13540,13580,76733,2019-03-15 14:33:50.036
2019-03-15 14:36:38.311,13580,13585,13560,13565,73697,2019-03-15 14:35:25.773
2019-03-15 14:38:43.687,13565,13575,13550,13570,75323,2019-03-15 14:36:38.311
2019-03-15 14:41:57.930,13570,13575,13550,13560,75916,2019-03-15 14:38:43.687
2019-03-15 14:43:59.064,13560,13570,13530,13530,77467,2019-03-15 14:41:57.930
2019-03-15 14:45:05.659,13530,13540,13510,13530,74048,2019-03-15 14:43:59.064
2019-03-15 14:46:34.617,13530,13585,13530,13580,76541,2019-03-15 14:45:05.659
2019-03-15 14:47:11.459,13580,13600,13575,13600,86446,2019-03-15 14:46:34.617
2019-03-15 14:47:22.847,13600,13650,13590,13650,75789,2019-03-15 14:47:11.459
2019-03-15 14:47:49.112,13650,13660,13625,13630,73935,2019-03-15 14:47:22.847
2019-03-15 14:48:52.833,13630,13645,13615,13620,73423,2019-03-15 14:47:49.112
2019-03-15 14:50:00.415,13620,13625,13605,13605,74686,2019-03-15 14:48:52.833
2019-03-15 14:51:59.581,13605,13615,13565,13580,74094,2019-03-15 14:50:00.415
